id,category,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
14,測量,基準点測量における二級基準点の測量精度要求はどれか。,±10mm以内,±20mm以内,±50mm以内,±100mm以内,C,測量法施行令では二級基準点の測量精度は±5cm以内と規定されています。,測量法施行令,標準
15,測量,地形測量における等高線の描画で最も重要な要素はどれか。,標高の読み取り精度,地物の形状把握,地表面の連続性の表現,植生の状況把握,C,等高線は地表面の形状を連続的に表現するため連続性のある線として描画することが重要です。,測量作業規程,応用
16,一般技術,建設CALS/ECの主な目的として正しいものはどれか。,建設コストの削減のみ,情報の電子化と共有,施工期間の短縮のみ,品質管理の向上のみ,B,建設CALS/ECの目的は設計から施工・維持管理まで一貫した情報の電子化です。,国土交通省CALS/EC,基本
17,一般技術,i-Constructionの3つの柱に含まれないものはどれか。,ICTの全面的な活用,全体最適の導入,施工時期の平準化,人材育成の強化,D,i-Constructionの3つの柱はICTの全面的な活用・全体最適の導入・施工時期の平準化です。,国土交通省i-Construction,標準
18,一般技術,品質確保法（品確法）の基本理念に含まれないものはどれか。,品質の確保,価格競争の重視,技術と経験の活用,品質向上への取り組み,B,品確法の基本理念は品質の確保・技術と経験の活用・品質向上への取り組み等です。,品質確保法,基本
19,コンクリート,コンクリートの水セメント比と強度の関係で正しいものはどれか。,水セメント比が大きいほど強度は高くなる,水セメント比と強度には関係がない,水セメント比が小さいほど強度は高くなる,水セメント比が50%のとき強度は最大となる,C,水セメント比が小さいほど密実なコンクリートとなり圧縮強度は高くなります。一般的にW/C=0.45-0.65程度が実用範囲です。,土木学会コンクリート標準示方書,基本
20,コンクリート,コンクリートの単位水量の増加による影響として正しいものはどれか。,強度の向上,乾燥収縮の減少,ワーカビリティの改善,中性化抵抗性の向上,C,単位水量の増加はワーカビリティを改善しますが強度低下・乾燥収縮増大・耐久性低下を招くため適切な管理が必要です。,JIS A 5308,標準
21,コンクリート,高強度コンクリートの特徴として正しいものはどれか。,普通コンクリートより弾性係数が小さい,クリープが大きい,圧縮強度60N/mm2以上のもの,引張強度が圧縮強度の1/5程度,C,高強度コンクリートは設計基準強度が60N/mm2以上のものを指し、高層建築物や大スパン構造物に使用されます。,土木学会コンクリート標準示方書,応用
22,土質,土の三相（固相・液相・気相）に関する記述で正しいものはどれか。,含水比は水の重量を土の全重量で除した値,土粒子密度は土粒子の単位体積重量,間隙比は間隙の体積を全体積で除した値,飽和度は間隙中の水の体積比,D,飽和度は間隙中の水が占める体積の割合で、完全に飽和した状態では100%となります。,地盤工学会基準,基本
23,土質,土の締固めに関する記述で正しいものはどれか。,最適含水比は土の種類に関係なく一定,最大乾燥密度は含水比の増加とともに増加し続ける,締固めエネルギーが大きいほど最適含水比は増加する,締固めエネルギーが大きいほど最大乾燥密度は増加する,D,締固めエネルギーが大きくなると最大乾燥密度は増加し最適含水比は減少します。これは土粒子がより密に詰まるためです。,JIS A 1210,標準
24,土質,軟弱地盤における圧密沈下の特徴として正しいものはどれか。,荷重載荷直後に全沈下が完了する,透水性の高い地盤で長期間継続する,粘性土地盤で時間依存性を示す,砂質土地盤で顕著に現れる,C,粘性土地盤では透水性が低いため圧密沈下は長期間にわたって進行し、時間依存性を示すのが特徴です。,地盤工学会基準,応用
25,河川,河川の計画基準点における基本高水流量の決定で考慮すべき事項はどれか。,河道の粗度係数のみ,計画降雨量と流域特性,過去最大流量のみ,河床勾配のみ,B,基本高水流量は計画降雨量（確率降雨）と流域の地形・地質・土地利用等の特性を考慮して決定されます。,河川砂防技術基準,標準
26,河川,河川の流量観測方法のうち低水時に適用される方法はどれか。,浮子法,電磁流速計法,ADCP法,すべて適用可能,D,低水時にはすべての流量観測方法が適用可能ですが、精度と安全性を考慮して電磁流速計法やADCP法が推奨されます。,河川砂防技術基準,基本
27,河川,河川堤防の質的整備における浸透対策として適切でないものはどれか。,ドレーン工,遮水シート,腹付け工,堤防嵩上げ,D,堤防嵩上げは量的整備であり質的整備の浸透対策ではありません。浸透対策にはドレーン工・遮水工・腹付け工等があります。,河川堤防設計指針,応用
28,道路,道路構造令における道路の区分で正しいものはどれか。,第1種から第3種まで,第1種から第4種まで,第1種から第5種まで,第1種から第6種まで,B,道路構造令では道路を第1種（高速自動車国道等）から第4種（市町村道等）の4種類に区分しています。,道路構造令,基本
29,道路,道路の線形設計における設計速度80km/hの場合の最小曲線半径はどれか。,100m,150m,200m,250m,C,道路構造令では設計速度80km/hの場合の最小曲線半径を200mと規定しています。これは安全な走行のための重要な基準です。,道路構造令,標準
30,道路,舗装設計における等値換算係数に関する記述で正しいものはどれか。,大型車1台を乗用車何台分の荷重として換算するかを示す,すべての車種で等値換算係数は1.0,等値換算係数は舗装材料により決まる,等値換算係数は交通量のみで決まる,A,等値換算係数は大型車1台分の荷重を乗用車何台分に相当するかを示す係数で、舗装設計の交通荷重計算に使用されます。,舗装設計便覧,応用
31,測量,GNSS測量における主要な誤差要因でないものはどれか。,電離層による遅延,対流圏による遅延,マルチパス,気温変化,D,GNSS測量の主要誤差要因は電離層・対流圏遅延、マルチパス、衛星・受信機クロック誤差等です。気温変化は直接的な誤差要因ではありません。,測量作業規程,基本
32,測量,基準点測量における一級基準点の測量精度はどれか。,±5mm以内,±2cm以内,±5cm以内,±10cm以内,B,測量法では一級基準点の測量精度を既知点に対して±2cm以内と規定しています。これは高精度な測量基準となります。,測量法施行令,標準
33,測量,地形測量における数値地形図作成で最も重要な要素はどれか。,等高線の正確性,建物の詳細表現,道路幅員の精度,植生の分類,A,数値地形図では地形の高さ情報を正確に表現する等高線が最も重要です。これが地形判読や設計の基礎となります。,測量作業規程,応用
34,構造力学,単純梁の中央に集中荷重Pが作用する場合の最大曲げモーメントはどれか。,PL/2,PL/4,PL/6,PL/8,B,単純梁の中央に集中荷重Pが作用する場合、最大曲げモーメントは支間長をLとしてPL/4となります。これは構造設計の基本公式です。,構造力学教科書,基本
35,構造力学,両端固定梁の等分布荷重wに対する固定端モーメントはどれか。,wL²/8,wL²/12,wL²/24,wL²/16,B,両端固定梁に等分布荷重wが作用する場合の固定端モーメントはwL²/12です。この値は構造解析で頻繁に使用されます。,構造力学教科書,標準
36,構造力学,トラス構造における零部材（応力が零の部材）の判定で正しいものはどれか。,すべての節点で発生する,荷重点のない節点で2部材が一直線上にある場合,常に対角部材で発生する,支点近傍でのみ発生する,B,荷重の作用しない節点で2本の部材が一直線上に配置される場合、これらの部材は零部材となります。,構造力学教科書,応用
37,水理学,開水路の等流における流速公式として正しいものはどれか。,マニング公式,ベルヌーイの定理,連続の式,運動量の式,A,開水路の等流ではマニング公式 V=1/n・R^(2/3)・I^(1/2) が広く用いられます。nは粗度係数、Rは径深、Iは勾配です。,水理学教科書,基本
38,水理学,管水路における損失水頭の種類として含まれないものはどれか。,摩擦損失,曲がり損失,拡大・縮小損失,重力損失,D,管水路の損失水頭には摩擦損失と形状損失（曲がり・拡大・縮小・分岐等）があります。重力損失という概念はありません。,水理学教科書,標準
39,水理学,ダムの越流部設計で考慮すべき現象として最も重要なものはどれか。,キャビテーション,水撃現象,サイフォン現象,共振現象,A,ダム越流部では高速流によるキャビテーション発生が構造物損傷の主要因となるため、その防止対策が最も重要です。,ダム工学,応用
40,材料,鋼材の機械的性質を表す指標でないものはどれか。,降伏強度,引張強度,弾性係数,熱膨張係数,D,熱膨張係数は鋼材の熱的性質を表す指標であり、機械的性質（降伏強度・引張強度・弾性係数・伸び等）ではありません。,JIS G 3101,基本
41,材料,コンクリート用骨材として不適切なものはどれか。,石灰岩砕石,安山岩砕石,川砂利,海砂（未処理）,D,海砂は塩分を含むためコンクリートの鉄筋腐食を促進します。使用する場合は十分な塩分除去処理が必要です。,JIS A 5005,標準
42,材料,アスファルト混合物の性状試験として行われないものはどれか。,マーシャル安定度試験,ホイールトラッキング試験,圧縮強度試験,密度試験,C,アスファルト混合物では圧縮強度試験は行いません。マーシャル安定度・ホイールトラッキング・密度等の試験を実施します。,舗装材料試験法,応用
43,環境,環境影響評価法の対象事業として正しいものはどれか。,すべての公共事業,一定規模以上の開発事業,民間事業のみ,国の事業のみ,B,環境影響評価法は道路・ダム・発電所等の一定規模以上の開発事業を対象とし、第1種事業と第2種事業に区分されます。,環境影響評価法,基本
44,環境,建設工事における大気汚染防止で最も重要な対策はどれか。,工事用車両の制限,粉じん飛散防止,騒音防止,振動防止,B,建設工事では掘削・運搬・解体等により粉じんが発生しやすく、周辺環境への影響が大きいため粉じん飛散防止対策が最重要です。,大気汚染防止法,標準
45,環境,水質汚濁防止法における特定施設として該当しないものはどれか。,コンクリート製造施設,土石洗浄施設,一般住宅,し尿処理施設,C,特定施設は汚水等を排出する可能性のある施設で、コンクリート製造・土石洗浄・し尿処理施設等が該当しますが一般住宅は含まれません。,水質汚濁防止法,応用
46,法令,建設業法における主任技術者の設置が不要な工事はどれか。,請負金額500万円以上の建設工事,請負金額3000万円以上の建築工事,請負金額500万円未満の軽微な建設工事,すべての公共工事,C,建設業法では請負金額500万円未満（建築工事は1500万円未満）の軽微な建設工事では主任技術者の設置は不要です。,建設業法,基本
47,法令,品質確保法（品確法）の基本理念として正しいものはどれか。,最低価格での契約,技術と価格の総合評価,価格のみによる競争,工期短縮の重視,B,品確法では「技術と価格の総合評価」による契約が基本理念とされ、価格のみの競争から脱却し品質確保を重視します。,品質確保法,標準
48,法令,公共工事の入札及び契約の適正化法で義務付けられているものはどれか。,すべて一般競争入札,工事成績の公表,入札結果の公表,最低制限価格の設定,C,入札契約適正化法では入札結果の公表が義務付けられており、透明性・競争性の確保を図っています。,入札契約適正化法,応用
49,維持管理,コンクリート構造物の劣化機構として最も一般的なものはどれか。,アルカリシリカ反応,塩害,中性化,凍害,C,コンクリート構造物では中性化による鉄筋腐食が最も一般的な劣化機構です。特に都市部では大気中のCO2による中性化が進行しやすくなります。,コンクリート診断技術,基本
50,維持管理,道路橋の定期点検における点検頻度として正しいものはどれか。,1年に1回,2年に1回,5年に1回,10年に1回,C,道路橋の定期点検は道路法に基づき5年に1回の頻度で実施することが義務付けられています。,道路法,標準
51,維持管理,河川施設の機能診断における健全性評価で最も良好な状態はどれか。,A,B,C,D,A,河川施設の健全性評価はA（良好）からD（緊急措置段階）の4段階で評価され、Aが最も良好な状態を示します。,河川構造物の維持管理,応用
52,施工,土工における締固め管理の方法として最も適切なものはどれか。,含水比のみで管理,乾燥密度のみで管理,含水比と乾燥密度による管理,粒度のみで管理,C,土工の締固め管理では最適含水比付近で最大乾燥密度が得られるため、含水比と乾燥密度の両方による管理が必要です。,土木工事施工管理基準,基本
53,施工,コンクリート工における暑中施工の対策として適切でないものはどれか。,打設時間を早朝・夜間にする,骨材の冷却,水の冷却,セメント量の増加,D,暑中施工ではコンクリート温度上昇を抑制するため、打設時間調整・材料冷却・遮熱等の対策を行いますがセメント量増加は逆効果です。,暑中コンクリート施工指針,標準
54,施工,トンネル工事における支保工の目的として正しいものはどれか。,掘削の迅速化,地山の安定化,作業環境の改善,すべて正しい,D,トンネル支保工は地山安定化が主目的ですが、結果として安全な掘削・良好な作業環境確保にも寄与するため、すべて正しい効果です。,トンネル標準示方書,応用
55,新技術,i-Constructionの3つの柱に含まれないものはどれか。,ICTの全面的な活用,全体最適の導入,施工時期の平準化,技術者の高齢化対策,D,i-Constructionの3つの柱は「ICTの全面的な活用」「全体最適の導入」「施工時期の平準化」です。技術者高齢化対策は含まれません。,国土交通省i-Construction,基本
56,新技術,BIM/CIMの効果として期待されないものはどれか。,設計品質の向上,施工効率の向上,維持管理の効率化,工事費の大幅削減,D,BIM/CIMは設計・施工・維持管理の品質向上と効率化に効果がありますが、工事費の大幅削減を直接的に保証するものではありません。,国土交通省BIM/CIM,標準
57,新技術,UAV（ドローン）を用いた測量の利点として正しくないものはどれか。,危険箇所の測量が可能,短時間での広域測量,高精度な測量,悪天候でも測量可能,D,UAVは危険箇所・広域の短時間測量・高精度測量が可能ですが、強風・雨天等の悪天候では飛行できません。気象条件に制約があります。,UAV測量マニュアル,応用
58,品質管理,コンクリートの圧縮強度試験における供試体の標準寸法はどれか。,直径10cm×高さ20cm,直径15cm×高さ30cm,直径20cm×高さ40cm,一辺15cmの立方体,B,コンクリート圧縮強度試験の標準供試体は直径15cm×高さ30cmの円柱供試体です。これがJIS A 1108で規定されています。,JIS A 1108,基本
59,品質管理,土の締固め試験における締固めエネルギーの単位として正しいものはどれか。,kJ/m³,kN/m²,J/cm³,N・m/cm³,A,土の締固め試験では単位体積当たりの締固めエネルギーを kJ/m³ で表します。A法では約550kJ/m³、B法では約2700kJ/m³です。,JIS A 1210,標準
60,品質管理,アスファルト混合物の品質管理試験として行われるマーシャル安定度試験の目的はどれか。,密度の測定,空隙率の測定,変形抵抗性の評価,温度特性の評価,C,マーシャル安定度試験は60℃でのアスファルト混合物の変形抵抗性を評価し、耐流動性を確認する重要な品質管理試験です。,舗装試験法便覧,応用
61,構造力学,片持ち梁の先端に集中荷重Pが作用する場合の最大たわみはどれか。,PL³/3EI,PL³/8EI,PL³/48EI,PL³/192EI,A,片持ち梁の先端に集中荷重Pが作用する場合、最大たわみはPL³/3EIとなります。Eは弾性係数、Iは断面二次モーメントです。,構造力学教科書,標準
62,水理学,レイノルズ数の定義として正しいものはどれか。,慣性力と粘性力の比,重力と慣性力の比,圧力と粘性力の比,表面張力と慣性力の比,A,レイノルズ数Re=VL/νは慣性力と粘性力の比を表す無次元数で、層流と乱流の判定に用いられます。,水理学教科書,基本
63,土質,土の透水試験における定水位透水試験が適用される土質はどれか。,粘土,シルト,砂,すべての土質,C,定水位透水試験は透水性の高い砂質土に適用され、粘土・シルトなど透水性の低い土には変水位透水試験を用います。,JIS A 1218,標準
64,コンクリート,フレッシュコンクリートの性質を表す指標でないものはどれか。,スランプ,空気量,ブリーディング,圧縮強度,D,圧縮強度は硬化コンクリートの性質であり、フレッシュコンクリートの性質ではありません。スランプ・空気量・ブリーディングはフレッシュ性状です。,JIS A 1101,基本
65,河川,洪水調節施設として最も効果的なものはどれか。,護岸工,根固工,ダム・遊水地,水制工,C,洪水調節施設としてはダムや遊水地が最も効果的で、洪水ピーク流量を低減させることができます。護岸工等は治水施設ですが調節機能はありません。,河川工学,応用
66,道路,視距の種類として含まれないものはどれか。,制動停止視距,追越視距,交差点視距,曲線視距,D,道路設計における視距には制動停止視距・追越視距・交差点視距がありますが、曲線視距という用語はありません。,道路構造令,標準
67,測量,トータルステーションの特徴として正しくないものはどれか。,角度と距離を同時測定,データの自動記録,天候に左右されない,座標計算機能,C,トータルステーションは角度・距離の同時測定、自動記録、座標計算が可能ですが、雨天・霧等の天候条件では測定精度が低下します。,測量機器,基本
68,新技術,ICT土工の主要技術として含まれないものはどれか。,3次元測量,3次元設計データ作成,ICT建機による施工,手作業による仕上げ,D,ICT土工は3次元測量・設計・ICT建機施工・出来形管理まで一貫したICT活用が特徴で、手作業による仕上げは含まれません。,ICT活用工事,応用
69,法令,労働安全衛生法における作業主任者の選任が必要な作業はどれか。,高さ2m以上の高所作業,酸素欠乏危険場所での作業,重量物の運搬作業,すべての建設作業,B,酸素欠乏危険場所での作業には酸素欠乏・硫化水素危険作業主任者の選任が法的に義務付けられています。,労働安全衛生法,標準
70,環境,建設リサイクル法の対象工事として正しいものはどれか。,すべての解体工事,床面積80m²以上の建築物解体工事,請負金額100万円以上の土木工事,民間工事は対象外,B,建設リサイクル法では床面積80m²以上の建築物解体工事、請負金額500万円以上の新築・増築工事等が対象となります。,建設リサイクル法,基本
71,コンクリート,アルカリシリカ反応の抑制対策として適切でないものはどれか。,低アルカリ形セメントの使用,反応性骨材の使用回避,混合セメントの使用,単位セメント量の増加,D,単位セメント量の増加はアルカリ総量を増やすため逆効果です。低アルカリセメント・非反応性骨材・混合セメントの使用が有効です。,アルカリ骨材反応抑制対策,応用
72,土質,盛土の安定計算で一般的に用いられる方法はどれか。,有限要素法,円弧すべり法,弾性解析法,塑性解析法,B,盛土の安定計算では円弧すべり法（簡便法・簡易Bishop法等）が一般的に用いられ、最小安全率を求めて安定性を評価します。,道路土工指針,標準
73,河川,河川の正常流量の設定で考慮すべき項目でないものはどれか。,動植物の保護,景観,舟運,洪水流量,D,正常流量は動植物保護・景観・舟運・流水の清潔保持等、平常時の河川機能維持に必要な流量で、洪水流量は含みません。,河川砂防技術基準,基本
74,道路,橋梁の支承の機能として正しくないものはどれか。,鉛直荷重の支持,水平移動の許容,回転の許容,曲げモーメントの伝達,D,支承は上部構造の荷重を下部構造に伝達し、温度変化等による移動・回転を許容しますが、曲げモーメントは伝達しません。,道路橋示方書,応用
75,測量,水準測量における誤差の要因として最も影響が大きいものはどれか。,気温変化,標尺の傾き,地球の曲率,器械の据付誤差,B,水準測量では標尺の傾きが最も大きな誤差要因となります。垂直に保持することが精度確保の要点です。,水準測量作業規程,標準
76,施工,場所打ち杭の施工管理項目として最も重要なものはどれか。,掘削速度,孔壁の安定,作業員数,機械の型式,B,場所打ち杭では孔壁の崩壊防止が最重要で、安定液管理やケーシング使用により孔壁の安定を確保します。,杭基礎施工便覧,応用
77,材料,鉄筋の機械的性質の規格値として正しいものはどれか。,SD295Aの降伏点は295N/mm²以上,SD345の降伏点は345N/mm²以下,SD390の降伏点は390N/mm²未満,すべて正しくない,A,鉄筋の規格では記号の数字が降伏点の下限値を示し、SD295Aは295N/mm²以上、SD345は345N/mm²以上となります。,JIS G 3112,基本
78,維持管理,アセットマネジメントの基本的な考え方として正しくないものはどれか。,ライフサイクルコストの最小化,予防保全の重視,事後保全のみの実施,リスクマネジメント,C,アセットマネジメントは予防保全を重視し、ライフサイクルコスト最小化とリスク管理により効率的な維持管理を行います。,インフラ長寿命化計画,標準
79,品質管理,土木工事の品質管理における管理図として一般的でないものはどれか。,X-R管理図,ヒストグラム,パレート図,ガントチャート,D,ガントチャートは工程管理に用いる図表で、品質管理にはX-R管理図・ヒストグラム・パレート図等を使用します。,品質管理基準,基本
80,一般技術,建設業における働き方改革の取組みとして適切でないものはどれか。,週休2日制の推進,ICT活用による生産性向上,長時間労働の推進,適正な工期設定,C,働き方改革では長時間労働の是正が重要で、週休2日制推進・ICT活用・適正工期設定により労働環境改善を図ります。,働き方改革関連法,応用
81,コンクリート,プレストレストコンクリートの特徴として正しくないものはどれか。,ひび割れ制御が可能,部材断面の縮小化,引張応力の導入,長スパン構造への適用,C,プレストレストコンクリートは圧縮応力を導入してひび割れを制御し、部材断面縮小と長スパン化を可能にします。,PC工学,標準
82,土質,地盤改良工法の選定で最も重要な要素はどれか。,工事費のみ,土質条件と改良目的,工期のみ,施工機械の有無,B,地盤改良工法の選定では土質条件（粘性土・砂質土）と改良目的（強度増加・液状化対策等）を総合的に検討することが最重要です。,地盤改良の調査・設計から施工まで,応用
83,河川,多目的ダムの目的として一般的でないものはどれか。,洪水調節,利水,発電,土砂採取,D,多目的ダムの目的は洪水調節・利水（上水・工水・農水）・発電等で、土砂採取は目的に含まれません。,ダム工学,基本
84,道路,交通容量に影響する要因として最も影響が小さいものはどれか。,車線幅員,縦断勾配,大型車混入率,舗装の色,D,交通容量は車線幅員・縦断勾配・大型車混入率・設計速度等に影響されますが、舗装の色は基本的に影響しません。,道路の交通容量,標準
85,測量,写真測量の利点として正しくないものはどれか。,広域の同時測量が可能,現地作業の省力化,地下構造の把握が可能,三次元データの取得,C,写真測量は広域同時測量・現地作業省力化・三次元データ取得が可能ですが、地下構造は把握できません。,写真測量,応用
86,新技術,建設DXの推進項目として含まれないものはどれか。,遠隔臨場の活用,電子納品の推進,紙図面の増加,BIM/CIMの活用,C,建設DXは遠隔臨場・電子納品・BIM/CIM等のデジタル技術活用により、紙図面を削減し業務効率化を図ります。,国土交通省DX,基本
87,施工,鋼矢板の打込み工法として振動・騒音が最も小さいものはどれか。,バイブロハンマ工法,ディーゼルハンマ工法,圧入工法,ドロップハンマ工法,C,圧入工法は油圧により静的に矢板を押し込むため、振動・騒音が最も小さく市街地工事に適しています。,仮設構造物工指針,標準
88,環境,生物多様性の保全対策として適切でないものはどれか。,ビオトープの創出,エコダクトの設置,外来種の積極的導入,在来種の保護,C,外来種は在来生態系を破壊する恐れがあるため、導入ではなく防除が必要です。在来種保護が生物多様性保全の基本です。,環境保全措置,応用
89,法令,建設工事の下請契約で禁止されている事項はどれか。,一括下請負,部分下請負,専門工事の下請,材料支給を伴う下請,A,建設業法では一括下請負（丸投げ）は原則禁止されています。発注者保護と施工責任明確化のための規定です。,建設業法,基本
90,維持管理,予防保全と事後保全の比較で正しいものはどれか。,予防保全は常に安価,事後保全は計画的実施が可能,予防保全はLCC削減に有効,両者に差はない,C,予防保全は劣化が軽微な段階で対策することで、長期的にはライフサイクルコスト（LCC）削減に有効です。,維持管理指針,標準
91,コンクリート,コンクリート構造物の耐久性向上対策として最も効果的なものはどれか。,単位水量の増加,かぶりの増加,水セメント比の増加,養生期間の短縮,B,かぶりの増加は鉄筋腐食に対する抵抗性を高め、耐久性向上に最も効果的です。適切な水セメント比と養生も重要です。,コンクリート標準示方書,応用
92,土質,液状化の判定に必要な条件として正しくないものはどれか。,地下水位以下の飽和土,細粒分含有率が低い,N値が小さい,粘性土である,D,液状化は地下水位以下の緩い砂質土で発生し、粘性土では発生しません。細粒分含有率35%以下が目安です。,道路橋示方書,基本
93,河川,堤防の破堤原因として最も多いものはどれか。,越水,浸透,侵食,地震,A,我が国の堤防破堤原因は越水が最も多く、次いで浸透・侵食となっています。堤防強化には複合的な対策が必要です。,河川堤防の構造検討,標準
94,道路,ラウンドアバウトの特徴として正しくないものはどれか。,信号制御が不要,環道交通優先,右回りの環状交通,直進車優先,D,ラウンドアバウトは信号不要で環道交通優先、日本では左側通行のため右回りとなります。直進車優先ではありません。,ラウンドアバウトマニュアル,応用
95,測量,3次元点群データの取得方法として適切でないものはどれか。,地上レーザスキャナ,UAV写真測量,MMS（モービルマッピングシステム）,水準測量,D,水準測量は高さのみを測定する方法で、3次元点群データは取得できません。レーザスキャナ等により面的なデータを取得します。,3次元計測技術,基本
96,施工,山岳トンネルの掘削工法として最も一般的なものはどれか。,開削工法,シールド工法,NATM,沈埋工法,C,山岳トンネルではNATM（新オーストリアトンネル工法）が最も一般的で、地山の支保能力を活用した合理的工法です。,トンネル標準示方書,標準
97,材料,コンクリートの混和材料として強度増進効果が最も高いものはどれか。,AE剤,減水剤,シリカフューム,AE減水剤,C,シリカフュームは超微粒子で、ポゾラン反応により長期強度増進効果が高く、高強度コンクリートに使用されます。,コンクリート混和材料,応用
98,品質管理,工事写真の撮影で最も重要な要素はどれか。,写真の美しさ,撮影者の技術,施工状況の記録,カメラの性能,C,工事写真は施工状況・出来形・品質を記録し、後日の確認資料となるため、正確な記録が最も重要です。,工事写真管理基準,基本
99,一般技術,VE（バリューエンジニアリング）の基本的な考え方はどれか。,コストのみを削減,機能のみを向上,機能とコストの最適化,品質を犠牲にしてコスト削減,C,VEは必要な機能を最小のライフサイクルコストで達成することを目的とし、機能とコストの最適化を図ります。,VEガイドライン,標準
100,RCCM制度,RCCMの登録有効期間はどれか。,2年,3年,4年,5年,C,RCCMの登録有効期間は4年間で、更新には登録更新講習の受講とCPD単位の取得が必要です。,RCCM資格制度,基本
