id,category,year,question,option_a,option_b,option_c,option_d,correct_answer,explanation,reference,difficulty
11,道路,2019,道路の歩道設計に関する記述として誤っているものはどれか,歩道の有効幅員は2.0m以上とすることが標準である,植樹帯は歩道幅員が4.0m未満の場合でも必ず設置する,歩道の縦断勾配は車いす使用者を考慮して5%以下とする,歩道の横断勾配は排水を考慮して1%以上2%以下とする,b,植樹帯は歩道幅員が4.0m以上の場合に設置を検討する。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路構造令・道路橋示方書,標準
12,道路,2019,積雪寒冷地における道路の構造に関する記述として誤っているものはどれか,車道の有効幅員について冬期でも有効幅員を確保できるよう地域の積雪深等に応じて効率的な除排雪のための堆雪幅を確保する,路面凍結等による安全性や円滑性の低下への配慮から冬期の路面状況を考慮した勾配など適切な線形を採用する,気象の変化しやすい峠などではチェーン脱着場や道路情報提供装置・気象観測装置・交通遮断施設なども必要に応じて設置する,歩道等の有効幅員について冬期でも歩行者の通行のための有効幅員を確保できる堆雪幅を確保する必要はない,d,歩道等についても冬期の歩行者通行のため適切な堆雪幅の確保が必要。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
13,道路,2019,落石予防工に該当しないものはどれか,ワイヤロープ掛工,ロックボルト工,河川護岸の根固め工,ロックシェッド,c,根固め工は河川工事で使用される工法であり落石予防工ではない,道路土工指針,標準
14,道路,2019,道路橋の耐震設計における地震時保有水平耐力法に関する記述として誤っているものはどれか,地震時保有水平耐力は構造物が地震時に保有する最大の水平耐力である,塑性率は構造物の変形性能を表す指標である,応答変位法では地盤変位を直接作用させて応答を求める,地震時保有水平耐力法では弾性応答のみを考慮する,d,地震時保有水平耐力法では塑性化を考慮した非線形応答を扱う。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路橋示方書,標準
15,道路,2019,道路管理者の責務に関する記述として誤っているものはどれか,道路管理者は道路を常時良好な状態に保つよう維持・修繕し一般交通に支障を及ぼさないよう努める責務がある,道路管理者は道路の構造の保全と交通の安全を図るため必要な措置を講じる責務がある,道路管理者は道路に関する禁止・制限・占用許可等の権限を有する,道路管理者は道路の維持管理について一切の責任を負う必要がない,d,道路管理者は道路法に基づき道路の適切な維持管理について責任を負う。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
16,道路,2019,ラウンドアバウトの幾何構造設計に関する記述として誤っているものはどれか,外径は通行する車両の軌跡を考慮して決定する,中央島径は安全性と容量のバランスを考慮して設定する,エプロン幅は大型車の内輪差を考慮して決定する,流入角は交通容量に影響しないため任意に設定してよい,d,流入角は交通容量と安全性に大きく影響するため適切に設定する必要がある。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,ラウンドアバウト設計・運用指針・道路構造令,標準
17,道路,2019,道路の設計における安全性向上に関する記述として誤っているものはどれか,設計段階での安全性向上対策は事故の未然防止に効果的である,視距の確保は安全な道路設計の基本的要素である,線形設計においては車両の走行特性を考慮する必要がある,道路設計では安全性よりも建設コストを最優先に考えるべきである,d,道路設計では安全性を最優先に考慮し経済性との適切なバランスを図る。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路構造令・道路橋示方書,標準
18,道路,2019,道路交通騒音の予測計算に関する記述として誤っているものはどれか,ASJ RTN-Model 2018により騒音レベルを予測する,交通量・車種構成・走行速度が予測に必要なパラメータである,道路構造・沿道状況による音響的影響を考慮する,騒音予測では気象条件の影響は考慮する必要がない,d,騒音予測では風向・風速・気温等の気象条件も重要な要因。誤りの選択肢を特定することが重要です 関連公式の適用が必要です。,道路環境影響評価の技術手法,標準
19,道路,2019,道路構造の用語説明として誤っているものはどれか,中央帯は車線の往復方向別の分離・車両の通行に必要な側方余裕の確保等自動車の交通機能に必要な空間である,側帯は歩行者・自転車の通行を主たる目的とするものではなく路肩の機能的補完を目的とする道路の部分である,植樹帯は異種交通の分離による交通の安全性・快適性の向上など自動車・歩行者等の交通機能に必要な空間である,副道は沿道施設への乗入れなど自動車の交通機能に必要な空間である,b,側帯は歩行者・自転車の通行を主たる目的とし路肩とは異なる機能を持つ。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
20,道路,2019,道路防災点検に関する記述として誤っているものはどれか,道路防災点検は道路沿いの斜面等について防災上の観点から実施する,道路防災点検は異常気象時の通行規制区間の設定に活用される,道路防災点検は要対策箇所の抽出と対策工法の検討を行う,道路防災点検は実施する必要がなく自然災害は予測不可能である,d,道路防災点検は自然災害による道路被害の予防・軽減のため重要な取組み。誤りの選択肢を特定することが重要です。,道路防災点検要領,標準
21,道路,2019,道路の縦断線形設計に関する記述として誤っているものはどれか,縦断曲線は走行の安全性と快適性を確保するため適切に設定する,縦断勾配は設計速度と地形条件を考慮して決定する,凸型縦断曲線では停止視距の確保に注意が必要である,凹型縦断曲線では夜間照明の影響は考慮する必要がない,d,凹型縦断曲線では夜間のヘッドライト照明による視距確保についても検討が必要。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路構造令・道路橋示方書,標準
22,道路,2019,道路の平面線形における緩和曲線の設計に関する記述として誤っているものはどれか,緩和曲線は直線から円曲線への滑らかな接続を図る,緩和曲線長は設計速度と円曲線半径により決定する,クロソイド曲線が一般的に用いられる,緩和曲線では遠心力の変化率は考慮する必要がない,d,緩和曲線では遠心力の変化率を適切に制御することが重要な設計要素。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路構造令・道路橋示方書,標準
23,道路,2019,舗装の維持管理に関する記述として誤っているものはどれか,舗装の維持管理は予防的維持管理と事後的維持管理に区分される,予防的維持管理は舗装の損傷が軽微な段階で実施する維持修繕である,事後的維持管理は舗装の損傷が進行した後に実施する維持修繕である,舗装の維持管理は損傷の程度にかかわらず一律に同じ工法を適用する,d,舗装の維持管理は損傷の程度・原因・交通条件に応じて適切な工法を選定。誤りの選択肢を特定することが重要です。,舗装の維持修繕ガイドブック,標準
24,道路,2019,道路照明の照明計算に関する記述として誤っているものはどれか,路面輝度は運転者の視認性に直接関係する指標である,輝度均斉度は照明の質を評価する重要な指標である,グレア制限は眩惑防止のため重要な設計要素である,道路照明では演色性は考慮する必要がない,d,道路照明では色の識別性確保のため演色性も重要な設計要素。誤りの選択肢を特定することが重要です 関連公式の適用が必要です。,道路照明施設設置基準,標準
25,道路,2019,カルバートの設計に関する記述として誤っているものはどれか,カルバートは死荷重・活荷重・土圧等を考慮して設計する,カルバートと盛土の不同沈下対策が重要である,裏込材料は締固め性・排水性・耐久性を考慮して選定する,すべてのカルバートで同一の継ぎ手構造を適用する,d,継ぎ手構造はカルバートの形式・規模・地盤条件・変形特性により適切に設計。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,道路土工カルバート工指針,標準
26,道路,2019,ランプの設計に関する記述として誤っているものはどれか,ランプの設計速度は接続する道路の設計速度を考慮して決定する,ランプの線形は安全で円滑な走行ができるよう設計する,ランプでは適切な視距の確保が重要である,すべてのランプで同一の設計基準を適用することが標準的である,d,ランプの設計基準は接続道路の種別・交通条件・地形条件により適切に設定。誤りの選択肢を特定することが重要です。,道路構造令・道路橋示方書,標準
27,道路,2019,道路のランプ部の交通容量に関する次の記述のうち、正しいものはどれか。,ランプ部の交通容量は本線の交通容量とは無関係に決定される,ランプ本体とランプ接続部の交通容量のうち小さい方がランプ部の交通容量となる,ランプ部の交通容量は常にランプ本体の交通容量と等しい,ランプ部では交通容量の概念は適用されない,b,ランプ部の交通容量は、ランプ本体部とランプ接続部（合流部・分流部）の交通容量のうち小さい方がボトルネックとなって決定される。これは交通工学における基本原理であり、システム全体の能力は構成要素の中で最も能力の低い部分によって制約される。道路構造令解説では、ランプ設計時にこの原則に基づいて適切な幾何構造を決定することが規定されている。,道路構造令解説・道路の交通容量,中
28,道路,2019,アスファルト舗装の構造設計に関する記述として誤っているものはどれか,舗装厚は設計CBRと設計交通量により決定する,等値換算係数により各層の等価厚を算定する,路床の支持力は舗装構成に大きく影響する,アスファルト舗装では疲労破壊は考慮する必要がない,d,アスファルト舗装では繰返し荷重による疲労破壊の検討が重要。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,舗装設計施工指針・道路構造令,標準
29,道路,2019,道路構造令の解説と運用（平成27年6月）による歩車共存道路等に関する記述として、誤っているものはどれか。,歩車共存道路等は自動車の通行が比較的少ない道路で歩行者の安全確保のために歩道等を設置するのは経済的・合理的でない道路に対応できる,歩車共存道路等は歩行者に対するサービスを優先し自動車に対するサービスを限定する道路である,歩車共存道路等は道路構造令上では主に第3種第5級および第4種第4級に分類されその幅員は狭く歩行者・自転車・自動車とが空間を共有し通行する道路である,コミュニティ道路は歩行者の通行空間が設けられ自転車・自動車の通行空間とは物理的に分離されている道路のことをいう,d,コミュニティ道路は、ハンプや狭さく等の物理的デバイスにより自動車の速度を抑制し、歩行者と自動車の共存・融合を図る道路である。歩行者と自動車の通行空間を物理的に分離するのではなく、むしろ同一空間での安全な共存を目指すものであり、選択肢dの記述は誤りである。道路構造令解説では、コミュニティ道路の基本概念として共存・融合が明記されている。,道路構造令解説（平成27年6月）,中
30,河川、砂防及び海岸・海洋,2019,海岸堤防に関する記述として誤っているものはどれか,堤防の型式は直立型・傾斜型・混成型の3種類に分類され表法面の勾配が1:1より急なものを直立型1:1より緩いものを傾斜型と呼び特に傾斜型の中で1:3より緩やかなものを緩傾斜堤と呼ぶ,設計波に対する堤防の必要高は一般に設置位置が汀線よりも沖側にある場合は越波流量から汀線よりも陸側にある場合には波のうちあげ高から算定する,緩傾斜堤は表法勾配が1:3程度であれば直立堤防に比べて波のうちあげ高や越波流量の低減が期待できる,堤防と一体的に設置された樹林や盛土は津波・高潮等により海水が堤防を越えて侵入した場合の被害を軽減する役割を担う,c,緩傾斜堤の波浪低減効果は勾配1:3程度では限定的で1:5以上の緩勾配で顕著となる。誤りの選択肢を特定することが重要です。,海岸保全施設の技術上の基準,標準
31,河川、砂防及び海岸・海洋,2019,ダムの計測管理に関する記述として誤っているものはどれか,ダムの計測管理は構造物の安全性を確認し適切な維持管理を行うために実施する,漏水量・揚圧力・変位等の計測は定期的に実施し異常の早期発見に努める,計測データは経年変化を把握し構造物の健全性を評価するために活用する,計測管理は建設時のみ実施すればよく供用後の計測は不要である,d,計測管理は建設時から供用期間を通じて継続的に実施し長期的な安全性確保を図る。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
32,河川、砂防及び海岸・海洋,2019,河川堤防の耐震対策に関する記述として誤っているものはどれか,河川堤防の耐震対策は地震による堤防の変形・沈下・液状化等を考慮して実施する,耐震対策工法は地盤条件・堤防構造・地震動特性等を総合的に検討して選定する,液状化対策として地盤改良・ドレーン工・鋼矢板工等の工法が用いられる,すべての河川堤防で同一の耐震対策を適用することが標準的である,d,耐震対策は地震リスク・重要度・地盤条件・堤防構造により適切に選定する必要がある。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
33,河川、砂防及び海岸・海洋,2019,海岸保全施設に関する記述として誤っているものはどれか,離岸堤は汀線の安定化と海浜の保全を目的として設置する,人工リーフは波浪の減衰効果により海浜の侵食を防止する,緩傾斜堤は波の遡上を促進し背後地への浸水を助長する構造物である,突堤は沿岸漂砂の制御により海浜の安定化を図る構造物である,c,緩傾斜堤は波の遡上を抑制し背後地への浸水を防止する構造物である。誤りの選択肢を特定することが重要です。,海岸保全施設の技術上の基準,標準
34,河川、砂防及び海岸・海洋,2019,海岸調査に関する記述として誤っているものはどれか,海面での気圧変動や風などによる海面の昇降を気象潮と言う,有義波は約100波以上の連続した波の観測値に対して上から全体の1/4にあたる個数を抽出して平均して求める,海浜流は海岸近くにおいて砕波変形の影響を受けて発達する流れである,潮位観測は波浪などの周期の比較的短い変動を除去した平均的な海面の高さの変動を連続して観測するものである,b,有義波は上位1/3の波高の平均値として求められる。誤りの選択肢を特定することが重要です。,港湾の施設の技術上の基準,標準
35,河川、砂防及び海岸・海洋,2019,砂防関係施設点検要領に示された地すべり防止施設及び施設周辺状況等の点検に関する記述として誤っているものはどれか,地すべり防止施設等の点検にあたっては劣化・腐食・損傷・変形等の原因とメカニズム・進行速度・機能や性能が低下した場合の問題点を推定しながら実施することが重要である,地すべり防止施設等の点検において地すべり防止施設に坑内傾斜計や地盤伸縮計等が設置されている場合は計測結果の確認を同時に実施する必要がある,地すべり防止施設等の点検は施設のみならず管理用道路や施設周辺斜面など周辺の状況についても点検の対象とする,地すべり防止施設等の点検において地下水排除工の集水管及び排水管の不可視部分の変状が疑われる場合は必要に応じて詳細点検を実施することが望ましく詳細点検の方法としては検尺棒による連続性の確認やカメラによる損傷状態の確認などがある,b,計測結果の確認は点検と同時に実施することが砂防関係施設点検要領で推奨されている。誤りの選択肢を特定することが重要です。,砂防関係施設点検要領,標準
36,河川、砂防及び海岸・海洋,2019,河川堤防の設計に関する記述として正しいものはどれか,堤防の安定計算では常時と地震時の両方を検討する,川表のり勾配は川裏のり勾配より急勾配とする,浸透対策は堤体内の間隙水圧を上昇させる効果がある,すべての河川で同一の堤防断面を適用する,a,河川堤防の設計では常時の安定性と地震時の安定性の両方を検討する必要がある。設計基準への準拠が必要です。,河川砂防技術基準,標準
37,河川、砂防及び海岸・海洋,2019,地すべり対策工のうちアンカー工法に関する記述として正しいものはどれか,地すべり対策工として使用されるアンカーの効果には締付効果・ひき止め効果・および地盤とアンカーの相互作用による補強効果の3種類がある,アンカーの定着長は地盤とグラウトとの間の付着長およびテンドンとグラウトとの間の付着長について比較し経済性を考慮し短い方を定着長とし原則として3m以上10m以下とする,アンカーの自由長は地盤のせん断抵抗や土塊重量が小さく十分な引き抜き抵抗力が得られなくなるなどの理由から原則として最小長を4mとする,アンカーの傾角は施工上の問題から原則として水平面より-10度～+10度の範囲内が望ましい,c,アンカーの自由長は滑動層を貫通するため最小長4mを原則とする,地すべり防止技術指針,標準
38,河川、砂防及び海岸・海洋,2019,急傾斜地の崩壊現象解明等のための調査に関する記述について誤っているものはどれか,急傾斜地の調査は基本調査・地盤調査・環境調査・崩壊斜面等調査からなる,地盤調査はサウンディング・ボーリング・土質試験・物理探査等の調査があり崩壊特性や地盤条件を的確に把握するために有効な調査手法を用いて実施する,環境調査は対象となる急傾斜地とその周辺を対象に社会環境や自然環境に関する法指定状況・土地利用計画・開発状況・景観資源・動植物等の項目について既存資料の収集・現地調査・調査結果の整理分析等により環境特性を把握することを目的に実施する,崩壊斜面等調査はがけ崩れの発生が予想される斜面において急傾斜崩壊防止施設の設計や警戒避難体制等の検討のために予想されるがけ崩れの発生形態や発生要因・被災想定を把握することを目的に実施する,d,崩壊斜面等調査は既に崩壊が生じた斜面と崩壊が予想される斜面の両方を対象とする。誤りの選択肢を特定することが重要です。,急傾斜地崩壊対策技術指針,標準
39,河川、砂防及び海岸・海洋,2019,山腹保全工に関する記述として正しいものはどれか,山腹工は山腹基礎工・山腹緑化工・山腹保育工からなる,山腹基礎工は山腹斜面にのり枠工や鉄筋挿入工などを設置し斜面そのものの崩壊抵抗力を高める工法である,山腹緑化工は山腹の斜面などにおいて表面侵食や表土の移動を抑制するとともに植生を導入する柵工・積苗工・筋工などの工法も含まれる,山腹保育工はとくし地のように土壌が貧弱ではあるが比較的緩斜面な地形のところで主体に計画される工法である,c,山腹緑化工は表面侵食抑制と植生導入を図る工法群で柵工・積苗工・筋工等を含む,治山技術基準,標準
40,河川、砂防及び海岸・海洋,2019,土石流・流木対策計画における土砂量および流木量の調査・算出方法に関する記述として正しいものはどれか,計画流出土砂量は原則として流域内の移動可能土砂量と計画規模の土石流によって運搬できる土砂量を比較して小さい方の値とする,崩壊可能土砂量を算出する際に考慮する0次谷とは1/5000以上で最も大縮尺となる地形図や航空レーザ測量結果を使用して等高線の凹み具合を眺めて凹んでいる等高線群の間口よりも奥行が小なる地形とする,計画規模の土石流によって運搬できる土砂量は計画規模の年超過確率の降雨量と既往最大の降雨量を比較し値の大きい降雨量に流域面積を掛けて総水量を求めこれに流動中の土石流濃度を乗じて算定しその際流出補正率を考慮する,計画流出流木量は推定された発生流木量に流木流出率を掛け合わせて算出し流木流出率は土石流・流木対策施設の整備状況に応じ0.6～0.9程度とする,a,計画流出土砂量は移動可能土砂量と運搬可能土砂量の小さい方とする,砂防基本計画策定指針,標準
41,河川、砂防及び海岸・海洋,2019,河川の維持管理の特徴に関する記述として誤っているものはどれか,平常時の点検だけで洪水時の異常に結びつくような変状を見つけ出すことは稀である,過去の洪水で安全に流下できればより規模の小さな洪水で危険になることはない,河川管理施設の点検・評価にあたっては建設当時の設計の考え方や施工方法などの技術水準についての知識が必要である,河川管理施設などの影響によってその河川の特性とは異なった応答を示す場合もあるが自然状態ではどのような応答を示す河川であるかを知っておくことは的確な維持管理を行う上で重要である,b,過去の洪水で安全でも河道変化等により小規模洪水で危険となる場合がある。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
42,河川、砂防及び海岸・海洋,2019,流量観測所の配置に関する記述のうち誤っているものはどれか,堰・水門の直上流と直下流に配置する,管理区間最上流端付近に配置する,遊水地・湖沼・貯水池の流出口若しくはその下流地点に配置する,水面勾配や河道幅・セグメント等の河道条件が変化する地点の前後に配置する,a,堰・水門では直上流のみに配置するのが一般的で直下流は必須ではない。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
43,河川、砂防及び海岸・海洋,2019,多自然川づくりにおける河道計画の基本に関する記述として誤っているものはどれか,縦断形の計画にあたっては河床の安定性と上下流間の生物移動の連続性の確保が重要であり拡幅を基本とした河道計画を検討した上で現況が良好な場合には縦断形は現況踏襲が基本となる,河道計画では流速を現状より大きくし洪水を早期に流下させるようにすることが基本となる,川の変化を許容するためには水際を固めすぎないようにするとともに川幅特に河床幅を十分確保する,現況が良好な河岸や河床を形成している場合河道の法線はその位置を極力変更しないように設定する,b,多自然川づくりでは必ずしも流速を大きくすることが基本ではなく自然な流況の保全が重要。誤りの選択肢を特定することが重要です。,多自然川づくり基本指針,標準
44,河川、砂防及び海岸・海洋,2019,河川法に関する記述のうち誤っているものはどれか,河川整備基本方針は水害発生の状況・水資源の利用の現況及び開発並びに河川環境の状況を考慮し水系ごとにその水系に係る河川の総合的管理が確保できるように定められなければならない,河川整備計画は河川整備基本方針に即しかつ公害防止計画が定められている地域に存する河川にあっては当該公害防止計画との調整を図って政令で定めるところにより当該河川の総合的な管理が確保できるように定められなければならない,河川管理者は河川整備計画の案を作成しようとする場合において必要があると認めるときは河川に関し学識経験を有する者の意見を聴かなければならない,河川整備計画は計画高水流量その他当該河川の河川工事及び河川の維持についての基本となるべき方針に関する事項を定められなければならない,d,計画高水流量等の基本方針は河川整備基本方針に定め河川整備計画には具体的な整備内容を定める。誤りの選択肢を特定することが重要です。,RCCM関連技術基準,標準
45,河川、砂防及び海岸・海洋,2019,樹木の対策に関する記述として誤っているものはどれか,樹木対策では樹木の経年変化も踏まえて予め伐開計画を作成しておくなど計画的な樹木対策を行う,治水上の支障が生じる河道内の樹木を伐開する際には樹木が阻害する流下能力など治水機能への影響や観測・巡視などの管理機能・生態系・景観などの環境機能への影響を十分踏まえた上で対策する,堤防等の河川管理施設に対して根が悪影響を与えていると認められる樹木は除去する等の対策を行う,伐開にあたって一部の樹木群を存置する場合には洪水時に倒伏・流出しやすい範囲を存置する,d,存置する場合は倒伏・流出しにくい健全で根系が発達した樹木群を選定する。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
46,河川、砂防及び海岸・海洋,2019,河川維持管理に関する記述として誤っているものはどれか,河川維持管理計画には河川の概要・河川維持管理上留意すべき事項・河川の区間区分・河川や地域の特性に応じた河川維持管理の目標・河川の状態把握の手法及び頻度・具体的な維持管理対策・地域連携等・効率化・改善に向けた取り組み等を定める,河川整備計画の目標流量が確保されていない区間に限り維持管理の目標を定める,河川維持管理目標は河川管理の目的に応じて洪水・高潮・津波等による災害の防止・河川区域等の適正な利用・河川環境の整備と保全等に関して設定する,河川維持管理計画を作成した場合には河道及び河川管理施設等の状況の変化・河川維持管理の実績・社会経済情勢の変化等に応じて適宜見直しを行う,b,維持管理の目標は全区間にわたって河川の特性に応じて設定するものである。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
47,河川、砂防及び海岸・海洋,2019,開水路の流れに関する記述として誤っているものはどれか,連続の式により流量は断面積と平均流速の積で表される,エネルギー式により上流と下流の全エネルギーの関係が表される,常流では水面波は上流・下流両方向に伝播する,射流では水面波は下流方向のみに伝播する,c,常流では水面波は上流・下流両方向に伝播するが射流では下流方向のみに伝播する。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
48,河川、砂防及び海岸・海洋,2019,河川の流量に関する記述として誤っているものはどれか,基本高水流量は計画基準点において定める流量である,計画高水流量は河道で安全に流下させる流量である,既往最大流量は過去に観測された最大の流量である,基本高水流量と計画高水流量は常に同一の値である,d,洪水調節により計画高水流量は基本高水流量より小さくなる場合がある。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
49,河川、砂防及び海岸・海洋,2019,ダムの構造に関する記述として誤っているものはどれか,コンクリートダムの堤体は予想される荷重によって滑動し又は転倒しない構造とするものとする,フィルダムの堤体は予想される荷重によって滑り破壊又は浸透破壊が生じない構造とするものとする,ダムの基礎岩盤は予想される荷重によって滑動し滑り破壊又は浸透破壊が生じないものとするものとする,フィルダムの堤体には放流設備その他の水路構造物を設けるものとする,d,フィルダムの堤体には原則として水路構造物を設けず別途設置する。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
50,河川、砂防及び海岸・海洋,2019,ダム堤体の安定性や設計に用いる荷重に関する記述として誤っているものはどれか,ダム堤体の設計に用いられる地震時の慣性力はダムの堤体に水平方向に作用するものとしダムの堤体の自重に設計震度を乗じた値とする,コンクリートダムはダムの堤体と基礎地盤との接合部及びその付近におけるせん断力による滑動に対し必要なせん断摩擦抵抗力を有するものとする,コンクリートダムの堤体の単位体積重量は原則として実際に使用する材料とコンクリート配合で試験を行いその結果に基づき決定し試験を行わないときにはコンクリートの単位体積重量を24.34kN/m³とすることができる,ダム堤体の設計に用いられる貯留水による静水圧の力はダムの堤体と貯留水との接触面に対して垂直に作用するものとする,c,コンクリートの単位体積重量の標準値は24.0kN/m³程度で24.34kN/m³は過大。誤りの選択肢を特定することが重要です 設計基準への準拠が必要です。,河川砂防技術基準,標準
51,河川、砂防及び海岸・海洋,2019,堤防の耐震性能照査に関する記述として誤っているものはどれか,堤防の耐震性能は地震後においても耐震性能の照査において考慮する外水位に対して河川の流水の河川外への越流を防止する機能を保持する性能を原則とする,耐震性能の照査において考慮する外水位は原則として平常時の最高水位とするものとし河口部付近では平常時の最高水位として朔望平均満潮位及び波浪の影響を考慮するものとし津波高については対象外とする,堤防の耐震性能の照査においては対象地点において現在から将来にわたって考えられる最大級の強さを持つ地震動を考慮するものとする,堤防の耐震性能の照査においては原則として地震の影響として基礎地盤及び堤体の液状化の影響と広域な地盤沈降の影響を考慮するものとする,b,耐震性能照査では計画高水位等の設計水位を考慮し平常時最高水位ではない。誤りの選択肢を特定することが重要です。,河川砂防技術基準,標準
